Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
lakeside,out,Hollywood Blvd. and Frontage Road,hollfron_o, 06:05:00 ,BreakPoint
lakeside,out,Dolphin Point Enclave,dolppoin_o,   ,
lakeside,out,Frontage Road and Lakeside Drive,fronlake_o,   ,
lakeside,out,Frontage Road,fronroad_o,   ,
lakeside,out,Bon Aire Mobile Home Lodge - Arrival,bonaire_o, 06:08:00 ,SchedPoint
lakeside,in,Bon Aire Mobile Home Lodge,bonaire_i, 06:08:00 ,TimePoint
lakeside,in,Riviera Drive and Frontage Road,rivifron_i,   ,
lakeside,in,Frontage Road and Lakeside Drive,fronlake_i,   ,
lakeside,in,Lakeside Drive and Nevada Avenue,lakeneva_i,   ,
lakeside,in,Lakeside Drive and Whispering Prairie Avenue,lakewhis_i,   ,
lakeside,in,Lakeside Drive and Miami Drive,lakemiam_i,   ,
lakeside,in,Miami Drive and California Avenue,miamcalf_i, 06:11:00 ,SchedPoint
lakeside,in,California Avenue and Union Avenue,caliunio_i,   ,
lakeside,in,Grantwood Elementary,granelem_i,   ,
lakeside,in,California Avenue and Sycamore Street,calisyca_i,   ,
lakeside,in,Burns Avenue and California Avenue,burncali_i,   ,
lakeside,in,Burns Avenue and Taylor Drive,burntayl_i,   ,
lakeside,in,Taylor Drive and Sandusky Drive,taylsand_i,   ,
lakeside,in,Sandusky Drive and Broadway Street,sandbroa_i,   ,
lakeside,in,Sandusky Drive and Keokuk Street,sandkeok_i,   ,
lakeside,in,Keokuk Street and Cross Park Avenue,keokcros_i,   ,
lakeside,in,K-Mart,kmart_i, 06:17:00 ,SchedPoint
lakeside,in,Southgate Avenue and Boyrum Street,soutboyr_i,   ,
lakeside,in,Hy Vee,hyvee_i,   ,
lakeside,in,Gilbert Street and 3rd Avenue,gilb3rd_i,   ,
lakeside,in,Gilbert Street and Kirkwood Avenue,gilkrik_i, 06:22:00 ,SchedPoint
lakeside,in,Gilbert Street and Benton Street,gilbbent_i,   ,
lakeside,in,Gilbert Street and Bowery Street,gilbbowe_i,   ,
lakeside,in,Court Street  and Maiden Lane,crtmaid_i,   ,
lakeside,in,Court Street  and Dubuque Street,crtdub_i,   ,
lakeside,in,Court Street Transportation Center,crttrans_i,   ,
lakeside,in,Downtown Interchange - Hidden Arrival,downinteb_a, 06:27:00 ,SchedArrival
westwinds,out,Downtown Interchange,downinte_d, 06:30:00 ,BreakPoint
westwinds,out,Washington Street and Madison Street,washmadi_o,   ,
westwinds,out,English Philosophy Building \ IMU,engliphil_o,   ,
westwinds,out,UI Student Health,studhlth_o,   ,
westwinds,out,Newton Road Ramp,newtramp_o, 06:35:00 ,SchedPoint
westwinds,out,VA Hospital - Newton Rd,vashosp_o,   ,
westwinds,out,Dental College,dentcoll_o,   ,
westwinds,out,Carver Hawkeye Arena,carvhawk_o,   ,
westwinds,out,UI Main Hospital \ Kinnick Stadium,mainhosp_o,   ,
westwinds,out,Hawkins Drive and Melrose Avenue,hawkmelr_o,   ,
westwinds,out,Melrose Avenue and Golfview Avenue,melrgolf_o,   ,
westwinds,out,Melrose Avenue and George Street,melrgeor_o,   ,
westwinds,out,Melrose Avenue and Sunset Street,melrsuns_o, 06:40:00 ,SchedPoint
westwinds,out,Melrose Avenue and Emerald Street,melremer_o,   ,
westwinds,out,Melrose Avenue and Westgate Street,melrwest_o,   ,
westwinds,out,Melrose Avenue and Macbride Road,melrmacr_o,   ,
westwinds,out,Melrose Avenue and Finkbine Lane,melrfink_o,   ,
westwinds,out,Westwinds Drive and Willowwind Place,westwill_o,   ,
westwinds,out,Westwinds Drive and Roberts Road,westrobr_o,   ,
westwinds,in,Melrose Avenue and Sunset Street,melrsuns_i,   ,
westwinds,out,Pheasant Ridge Neighborhood Center,phearidg_o, 06:49:00 ,SchedPoint
westwinds,in,Bartelt Road and Morman Trek Blvd.,bartmorm_i,   ,
westwinds,in,Walden Plaza,waldplaz_i,   ,
westwinds,in,Benton Street and Jema Court,bentjema_i,   ,
westwinds,in,Benton Street and Spencer Drive,bentspen_i,   ,
westwinds,in,Benton Street and Keswick Drive,bentkesw_i,   ,
westwinds,in,Benton Street and Westgate Street,bentwest_i,   ,
westwinds,in,Horn Elementary,hornele1_i,   ,
westwinds,in,Denbigh Drive and Hafor Drive,denbhafo_i,   ,
westwinds,in,Denbigh Drive and Penkridge Drive,denbpenk_i,   ,
westwinds,in,Denbigh Drive and Sunset Street,denbsuns_i, 06:53:00 ,SchedPoint
westwinds,in,Sunset Street and Kineton Green,sunskine_i,   ,
westwinds,in,Sunset Street and Arbury Drive,sunsarbu_i,   ,
westwinds,in,Benton Street and Sunset Street,bentsuns_i,   ,
westwinds,in,Horn Elementary,hornele2_i,   ,
westwinds,in,Westgate Street and Westgate Court,westwest_i,   ,
westwinds,in,Westgate Street Midblock,westmid_i,   ,
westwinds,in,Westgate Street and Keswick Drive,westkesw_i,   ,
westwinds,in,Westgate Street and Melrose Avenue,westmelr_i, 06:57:00 ,SchedPoint
westwinds,in,IC Fire Station,icfire_i,   ,
westwinds,in,Melrose Avenue and George Street,melrgeor_i,   ,
westwinds,in,Melrose Avenue and Koser Avenue,melrkose_i,   ,
westwinds,in,Ramp 2 \ Pappajohn & Pomerantz,ramp2_i,   ,
westwinds,in,UI Main Hospital \ Kinnick Stadium,uimain_i, 07:02:00 ,SchedPoint
westwinds,in,UI Center for Disabilities \ Dental College,uidisa_i,   ,
westwinds,in,Carver Hawkeye Arena,carvhawk_i,   ,
westwinds,in,Dental College,dentcoll_i,   ,
westwinds,in,VA Hospital,vahosp_i,   ,
westwinds,in,MERF,merf_i, 07:06:00 ,SchedPoint
westwinds,in,English Philosophy Building \ IMU,englphil_i,   ,
westwinds,in,Iowa Avenue and Madison Street,iowamadi_i,   ,
westwinds,in,Downtown Interchange - Hidden Arrival,downinte_a, 07:11:00 ,SchedArrival
courthill,out,Downtown Interchange,downinte_d, 07:15:00 ,BreakPoint
courthill,out,IC Library \ Senior Center,iclib_o,   ,
courthill,out,Washington Street and Gilbert Street,washgilb_o,   ,
courthill,out,Burlington Street and Johnson Street,burljohn_o,   ,
courthill,out,Burlington Street and Lucas Street,burlluca_o,   ,
courthill,out,Burlington Street and Summit Street,burlsumm_o, 07:21:00 ,SchedPoint
courthill,out,Burlington Street and Muscatine Avenue,burlmusc_o,   ,
courthill,out,Court Street and Muscatine Avenue,courmusca_o,   ,
courthill,out,Court Street and 7th Avenue,cour7th_o,   ,
courthill,out,Court Street and Morningside Drive,courmorn_o,   ,
courthill,out,City High School,cityhigh_o,   ,
courthill,out,Hoover Elementary,hoovelem_o,   ,
courthill,out,Court Street and 1st Avenue,cour1st_o, 07:25:00 ,SchedPoint
courthill,out,Court Street and Upland Avenue,courupla_o,   ,
courthill,out,Court Street and Crestview Avenue,coutcres_o,   ,
courthill,out,Court Street and Linden Court,courlind_o,   ,
courthill,out,Court Street and Westminster Street,courwest_o,   ,
courthill,out,Court Street and Dartmouth Street,courdart_o,   ,
courthill,out,Friendship & Court - Hidden Arrival,friecour_a, 07:28:00 ,SchedArrival
courthill,out,Court Street and Friendship Avenue,courfrie_o, 07:28:00 ,TimePoint
courthill,in,Friendship Avenue and Arbor Street,freiarbo_i,   ,
courthill,in,Friendship Avenue and Clover Street,freiclov_i,   ,
courthill,in,Friendship Avenue and Norwood Circle,freinorw_i,   ,
courthill,in,Friendship Avenue and Meadow Street,freimead_i,   ,
courthill,in,Friendship Avenue and Terrace Road,freiterr_i,   ,
courthill,in,Upland Avenue and Crestview Avenue,uplacres_i,   ,
courthill,in,Upland Avenue and Court Street,uplacour_i,   ,
courthill,in,Court Street and 1st Avenue,cour1st_i, 07:31:00 ,SchedPoint
courthill,in,Court Street and 2nd Avenue,cour2nd_i,   ,
courthill,in,City High School,cityhigh_i,   ,
