stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:01:30,0:00:30,Outbound
257,0:04:00,0:02:30,Outbound
253,0:06:00,0:02:00,Outbound
245,0:06:30,0:00:30,Outbound
241,0:06:45,0:00:15,Outbound
4010,0:07:30,0:00:45,Outbound
385,0:09:00,0:01:30,Outbound
4030,0:10:00,0:01:00,Outbound
4040,0:13:00,0:03:00,Outbound
4050,0:13:10,0:00:10,Outbound
4060,0:13:30,0:00:20,Outbound
4070,0:13:45,0:00:15,Outbound
4080,0:14:00,0:00:15,Outbound
4090,0:14:15,0:00:15,Outbound
4100,0:14:45,0:00:30,Outbound
4110,0:17:00,0:02:15,Outbound
4120,0:17:30,0:00:30,Outbound
4130,0:17:45,0:00:15,Outbound
4140,0:18:15,0:00:30,Outbound
4160,0:18:45,0:00:30,Outbound
4170,0:20:15,0:01:30,Outbound
4180,0:20:45,0:00:30,Outbound
4190,0:21:00,0:00:15,Outbound
4200,0:21:30,0:00:30,Outbound
4210,0:23:45,0:02:15,Outbound
4220,0:25:00,0:01:15,Inbound
4230,0:26:00,0:01:00,Inbound
4191,0:26:30,0:00:30,Inbound
4240,0:27:00,0:00:30,Inbound
4250,0:27:30,0:00:30,Inbound
4260,0:29:00,0:01:30,Inbound
4270,0:29:30,0:00:30,Inbound
4280,0:29:45,0:00:15,Inbound
4290,0:30:30,0:00:45,Inbound
4300,0:31:00,0:00:30,Inbound
4310,0:31:30,0:00:30,Inbound
4320,0:32:00,0:00:30,Inbound
4330,0:32:15,0:00:15,Inbound
4340,0:34:00,0:01:45,Inbound
4360,0:34:30,0:00:30,Inbound
4370,0:35:00,0:00:30,Inbound
4380,0:35:00,0:00:00,Inbound
4031,0:37:00,0:02:00,Inbound
100,0:38:00,0:01:00,Inbound
246,0:40:00,0:02:00,Inbound
254,0:43:00,0:03:00,Inbound
256,0:43:15,0:00:15,Inbound
264,0:43:30,0:00:15,Inbound
145,0:44:00,0:00:30,Inbound
125,0:44:30,0:00:30,Inbound
120,0:45:00,0:00:30,Inbound
1,0:49:00,0:04:00,Inbound
