stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:01:30,0:00:30,Outbound
257,0:03:00,0:01:30,Outbound
253,0:05:00,0:02:00,Outbound
245,0:06:00,0:01:00,Outbound
241,0:06:45,0:00:45,Outbound
4010,0:08:00,0:01:15,Outbound
4015,0:10:00,0:02:00,Outbound
5010,0:11:30,0:01:30,Outbound
5020,0:13:00,0:01:30,Outbound
5030,0:14:00,0:01:00,Outbound
5040,0:15:00,0:01:00,Outbound
5050,0:20:00,0:05:00,Outbound
5060,0:21:00,0:01:00,Outbound
5070,0:22:00,0:01:00,Outbound
5080,0:22:45,0:00:45,Outbound
5090,0:23:30,0:00:45,Outbound
5102,0:24:00,0:00:30,Inbound
5106,0:24:20,0:00:20,Inbound
5108,0:24:45,0:00:25,Inbound
5110,0:25:00,0:00:15,Inbound
5120,0:27:00,0:02:00,Inbound
5130,0:29:00,0:02:00,Inbound
5140,0:29:20,0:00:20,Inbound
5150,0:29:40,0:00:20,Inbound
5160,0:30:00,0:00:20,Inbound
5170,0:30:20,0:00:20,Inbound
346,0:30:40,0:00:20,Inbound
5190,0:31:00,0:00:20,Inbound
5200,0:33:00,0:02:00,Inbound
5210,0:34:00,0:01:00,Inbound
5220,0:35:00,0:01:00,Inbound
5230,0:36:00,0:01:00,Inbound
4101,0:37:00,0:01:00,Inbound
5250,0:38:00,0:01:00,Inbound
100,0:39:00,0:01:00,Inbound
246,0:44:00,0:05:00,Inbound
254,0:45:00,0:01:00,Inbound
256,0:46:00,0:01:00,Inbound
264,0:47:00,0:01:00,Inbound
145,0:48:00,0:01:00,Inbound
125,0:49:00,0:01:00,Inbound
120,0:49:30,0:00:30,Inbound
1,0:50:00,0:00:30,Inbound
