stop_id,time,relative_time,head_sign
5221,0:00:00,0:00:00,Outbound
5211,0:01:00,0:01:00,Outbound
5201,0:02:00,0:01:00,Outbound
5800,0:07:00,0:05:00,Outbound
5810,0:08:30,0:01:30,Outbound
5850,0:09:00,0:00:30,Outbound
5855,0:11:00,0:02:00,Outbound
5860,0:13:00,0:02:00,Outbound
5865,0:14:00,0:01:00,Outbound
5870,0:15:00,0:01:00,Outbound
5875,0:16:00,0:01:00,Outbound
5840,0:24:00,0:08:00,Inbound
5831,0:26:00,0:02:00,Inbound
5821,0:27:00,0:01:00,Inbound
5811,0:28:00,0:01:00,Inbound
5801,0:30:00,0:02:00,Inbound
5202,0:34:00,0:04:00,Inbound
350,0:35:20,0:01:20,Inbound
354,0:36:40,0:01:20,Inbound
360,0:38:00,0:01:20,Inbound
366,0:39:00,0:01:00,Inbound
246,0:47:00,0:08:00,Inbound
254,0:48:00,0:01:00,Inbound
256,0:49:15,0:01:15,Inbound
264,0:50:30,0:01:15,Inbound
145,0:51:45,0:01:15,Inbound
125,0:53:00,0:01:15,Inbound
120,0:54:30,0:01:30,Inbound
1,0:55:00,0:00:30,Inbound
