stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:01:30,0:00:30,Outbound
257,0:04:00,0:02:30,Outbound
253,0:06:00,0:02:00,Outbound
245,0:06:30,0:00:30,Outbound
241,0:06:45,0:00:15,Outbound
4010,0:07:30,0:00:45,Outbound
4015,0:11:00,0:03:30,Outbound
4021,0:12:00,0:01:00,Outbound
4371,0:12:45,0:00:45,Outbound
4361,0:13:15,0:00:30,Outbound
4341,0:14:00,0:00:45,Outbound
4331,0:14:30,0:00:30,Outbound
4321,0:15:00,0:00:30,Outbound
4311,0:15:30,0:00:30,Outbound
4301,0:16:30,0:01:00,Outbound
4291,0:16:45,0:00:15,Outbound
4281,0:17:30,0:00:45,Outbound
4271,0:17:45,0:00:15,Outbound
4261,0:18:00,0:00:15,Outbound
4265,0:19:00,0:01:00,Outbound
4180,0:19:30,0:00:30,Outbound
4190,0:20:00,0:00:30,Outbound
4200,0:21:00,0:01:00,Outbound
4210,0:22:00,0:01:00,Outbound
4220,0:24:00,0:02:00,Inbound
4230,0:25:00,0:01:00,Inbound
4191,0:26:00,0:01:00,Inbound
4181,0:26:30,0:00:30,Inbound
4171,0:27:00,0:00:30,Inbound
4161,0:27:30,0:00:30,Inbound
4141,0:28:00,0:00:30,Inbound
4131,0:28:45,0:00:45,Inbound
4121,0:29:30,0:00:45,Inbound
4111,0:30:00,0:00:30,Inbound
4105,0:30:30,0:00:30,Inbound
4101,0:31:15,0:00:45,Inbound
4091,0:32:00,0:00:45,Inbound
4081,0:32:30,0:00:30,Inbound
4071,0:33:15,0:00:45,Inbound
4061,0:34:00,0:00:45,Inbound
4055,0:34:45,0:00:45,Inbound
4051,0:35:00,0:00:15,Inbound
4041,0:35:30,0:00:30,Inbound
4031,0:37:00,0:01:30,Inbound
100,0:38:00,0:01:00,Inbound
246,0:40:00,0:02:00,Inbound
254,0:43:00,0:03:00,Inbound
256,0:43:15,0:00:15,Inbound
264,0:43:30,0:00:15,Inbound
145,0:44:00,0:00:30,Inbound
125,0:44:30,0:00:30,Inbound
120,0:45:00,0:00:30,Inbound
1,0:49:00,0:04:00,Inbound
