stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:01:30,0:00:30,Outbound
257,0:04:00,0:02:30,Outbound
253,0:06:00,0:02:00,Outbound
245,0:06:30,0:00:30,Outbound
241,0:07:00,0:00:30,Outbound
4010,0:07:30,0:00:30,Outbound
385,0:09:00,0:01:30,Outbound
4381,0:11:00,0:02:00,Outbound
4372,0:12:00,0:01:00,Outbound
4361,0:13:00,0:01:00,Outbound
4341,0:15:00,0:02:00,Outbound
4331,0:15:30,0:00:30,Outbound
4321,0:16:00,0:00:30,Outbound
4311,0:16:30,0:00:30,Outbound
4301,0:16:45,0:00:15,Outbound
4291,0:17:00,0:00:15,Outbound
4281,0:17:30,0:00:30,Outbound
4271,0:17:45,0:00:15,Outbound
4261,0:18:00,0:00:15,Outbound
4251,0:18:30,0:00:30,Outbound
4241,0:19:00,0:00:30,Outbound
4192,0:19:30,0:00:30,Outbound
4200,0:20:00,0:00:30,Outbound
4210,0:20:30,0:00:30,Outbound
4220,0:22:00,0:01:30,Inbound
4230,0:23:15,0:01:15,Inbound
4191,0:24:30,0:01:15,Inbound
4181,0:25:00,0:00:30,Inbound
4171,0:26:00,0:01:00,Inbound
4161,0:26:30,0:00:30,Inbound
4141,0:27:00,0:00:30,Inbound
4131,0:27:45,0:00:45,Inbound
4121,0:28:30,0:00:45,Inbound
4111,0:29:00,0:00:30,Inbound
4105,0:29:45,0:00:45,Inbound
4101,0:30:30,0:00:45,Inbound
4091,0:31:30,0:01:00,Inbound
4081,0:32:15,0:00:45,Inbound
4071,0:33:00,0:00:45,Inbound
4061,0:33:45,0:00:45,Inbound
4055,0:34:30,0:00:45,Inbound
4051,0:35:00,0:00:30,Inbound
4041,0:35:30,0:00:30,Inbound
4031,0:37:00,0:01:30,Inbound
