stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:01:30,0:00:30,Outbound
257,0:03:00,0:01:30,Outbound
253,0:05:00,0:02:00,Outbound
245,0:05:30,0:00:30,Outbound
241,0:05:45,0:00:15,Outbound
4010,0:06:30,0:00:45,Outbound
4015,0:10:00,0:03:30,Outbound
5010,0:10:45,0:00:45,Outbound
5020,0:11:30,0:00:45,Outbound
5260,0:12:15,0:00:45,Outbound
4102,0:13:00,0:00:45,Outbound
5231,0:13:30,0:00:30,Outbound
5221,0:14:00,0:00:30,Outbound
5211,0:15:00,0:01:00,Outbound
5201,0:16:00,0:01:00,Outbound
5191,0:18:00,0:02:00,Outbound
5181,0:18:45,0:00:45,Outbound
5171,0:19:30,0:00:45,Outbound
341,0:20:00,0:00:30,Outbound
5151,0:20:45,0:00:45,Outbound
5141,0:21:30,0:00:45,Outbound
5131,0:22:15,0:00:45,Outbound
5121,0:23:00,0:00:45,Outbound
5111,0:24:00,0:01:00,Outbound
5101,0:26:00,0:02:00,Outbound
5080,0:27:30,0:01:30,Inbound
5090,0:28:00,0:00:30,Inbound
5071,0:29:00,0:01:00,Inbound
5061,0:30:00,0:01:00,Inbound
5051,0:31:00,0:01:00,Inbound
5041,0:36:00,0:05:00,Inbound
5250,0:38:00,0:02:00,Inbound
100,0:41:00,0:03:00,Inbound
246,0:44:00,0:03:00,Inbound
254,0:45:00,0:01:00,Inbound
256,0:46:00,0:01:00,Inbound
264,0:47:00,0:01:00,Inbound
145,0:48:00,0:01:00,Inbound
125,0:49:00,0:01:00,Inbound
120,0:49:30,0:00:30,Inbound
1,0:50:00,0:00:30,Inbound
