stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
146,0:01:00,0:01:00,Outbound
263,0:03:00,0:02:00,Outbound
257,0:04:00,0:01:00,Outbound
253,0:05:00,0:01:00,Outbound
245,0:05:30,0:00:30,Outbound
241,0:06:00,0:00:30,Outbound
365,0:16:00,0:10:00,Outbound
361,0:16:45,0:00:45,Outbound
355,0:17:30,0:00:45,Outbound
351,0:18:15,0:00:45,Outbound
5203,0:19:00,0:00:45,Outbound
5800,0:24:00,0:05:00,Outbound
5810,0:27:00,0:03:00,Outbound
5820,0:30:00,0:03:00,Outbound
5830,0:32:00,0:02:00,Outbound
5840,0:37:00,0:05:00,Inbound
5876,0:40:00,0:03:00,Inbound
5871,0:41:00,0:01:00,Inbound
5866,0:42:00,0:01:00,Inbound
5861,0:43:00,0:01:00,Inbound
5856,0:46:00,0:03:00,Inbound
5851,0:47:00,0:01:00,Inbound
5811,0:48:00,0:01:00,Inbound
5801,0:50:00,0:02:00,Inbound
5202,0:54:00,0:04:00,Inbound
5210,0:55:00,0:01:00,Inbound
5220,0:56:00,0:01:00,Inbound
