stop_id,time,relative_time,head_sign
5900,0:00:00,0:00:00,Outbound
4040,0:02:00,0:02:00,Outbound
4050,0:03:00,0:01:00,Outbound
5910,0:04:00,0:01:00,Outbound
5920,0:04:45,0:00:45,Outbound
4080,0:05:30,0:00:45,Outbound
4090,0:06:15,0:00:45,Outbound
4100,0:07:00,0:00:45,Outbound
4110,0:08:00,0:01:00,Outbound
5930,0:12:00,0:04:00,Outbound
5940,0:12:40,0:00:40,Outbound
5950,0:13:20,0:00:40,Outbound
4162,0:14:00,0:00:40,Outbound
4141,0:14:40,0:00:40,Outbound
4131,0:15:20,0:00:40,Outbound
5222,0:16:00,0:00:40,Outbound
5211,0:16:15,0:00:15,Outbound
5201,0:16:30,0:00:15,Outbound
5191,0:16:45,0:00:15,Outbound
5280,0:17:00,0:00:15,Outbound
5290,0:17:30,0:00:30,Outbound
5120,0:18:00,0:00:30,Outbound
5130,0:18:30,0:00:30,Outbound
5140,0:19:00,0:00:30,Inbound
5150,0:19:30,0:00:30,Inbound
5160,0:20:00,0:00:30,Inbound
5202,0:22:00,0:02:00,Inbound
350,0:22:30,0:00:30,Inbound
354,0:23:00,0:00:30,Inbound
360,0:24:00,0:01:00,Inbound
366,0:25:00,0:01:00,Inbound
5970,0:29:00,0:04:00,Inbound
