stop_id,time,relative_time,head_sign
2,0:00,0:00,Outbound
7200,0:01:00,0:01:00,Outbound
7201,0:01:30,0:00:30,Outbound
7204,0:02:30,0:01:00,Outbound
7208,0:04:15,0:01:45,Outbound
7211,0:06:00,0:01:45,Outbound
7214,0:06:30,0:00:30,Outbound
7215,0:07:10,0:00:40,Outbound
7216,0:07:40,0:00:30,Outbound
7217,0:08:00,0:00:20,Outbound
7218,0:08:20,0:00:20,Outbound
7219,0:08:40,0:00:20,Outbound
7220,0:09:00,0:00:20,Outbound
7221,0:10:00,0:01:00,Outbound
7222,0:10:40,0:00:40,Outbound
7223,0:11:20,0:00:40,Outbound
7226,0:12:00,0:00:40,Outbound
7228,0:12:40,0:00:40,Outbound
7229,0:13:20,0:00:40,Outbound
7230,0:13:30,0:00:10,Outbound
7232,0:13:45,0:00:15,Outbound
7233,0:18:00,0:04:15,Inbound
7234,0:18:40,0:00:40,Inbound
7235,0:19:20,0:00:40,Inbound
7238,0:20:00,0:00:40,Inbound
7239,0:20:40,0:00:40,Inbound
7240,0:21:20,0:00:40,Inbound
7212,0:22:00,0:00:40,Inbound
7213,0:22:15,0:00:15,Inbound
7209,0:22:45,0:00:30,Inbound
7203,0:23:10,0:00:25,Inbound
7202,0:23:20,0:00:10,Inbound
7205,0:24:00,0:00:40,Inbound
7206,0:25:00,0:01:00,Inbound
7207,0:26:00,0:01:00,Inbound
1,0:27:00,0:01:00,Inbound
