stop_id,time,relative_time,head_sign
1,0:00,0:00,Outbound
7080,0:00:20,0:00:20,Outbound
7077,0:02:20,0:02:00,Outbound
7075,0:03:00,0:00:40,Outbound
7073,0:04:30,0:01:30,Outbound
7013,0:06:00,0:01:30,Outbound
7014,0:07:00,0:01:00,Outbound
7025,0:07:30,0:00:30,Outbound
7024,0:07:40,0:00:10,Outbound
7023,0:08:00,0:00:20,Outbound
7022,0:08:20,0:00:20,Outbound
7021,0:08:40,0:00:20,Outbound
7026,0:09:00,0:00:20,Outbound
7034,0:09:30,0:00:30,Outbound
7035,0:10:00,0:00:30,Outbound
7036,0:11:00,0:01:00,Outbound
7037,0:11:30,0:00:30,Outbound
7061,0:14:00,0:02:30,Outbound
7062,0:15:00,0:01:00,Outbound
7063,0:16:00,0:01:00,Inbound
7064,0:16:10,0:00:10,Inbound
7065,0:16:30,0:00:20,Inbound
7066,0:17:30,0:01:00,Inbound
7067,0:18:00,0:00:30,Inbound
7068,0:19:00,0:01:00,Inbound
7069,0:20:00,0:01:00,Inbound
7070,0:20:40,0:00:40,Inbound
7016,0:21:00,0:00:20,Inbound
7750,0:22:00,0:01:00,Inbound
7071,0:23:00,0:01:00,Inbound
7072,0:23:20,0:00:20,Inbound
7074,0:24:20,0:01:00,Inbound
7076,0:24:40,0:00:20,Inbound
7078,0:25:20,0:00:40,Inbound
7079,0:26:00,0:00:40,Inbound
7081,0:26:20,0:00:20,Inbound
2,0:27:00,0:00:40,Inbound
