stop_id,time,relative_time,head_sign
1,0:00,0:00,Outbound
7080,0:00:20,0:00:20,Outbound
7077,0:02:20,0:02:00,Outbound
7075,0:03:00,0:00:40,Outbound
7073,0:04:30,0:01:30,Outbound
7013,0:06:00,0:01:30,Outbound
7014,0:07:00,0:01:00,Outbound
7025,0:07:30,0:00:30,Outbound
7024,0:07:40,0:00:10,Outbound
7023,0:08:00,0:00:20,Outbound
7022,0:08:20,0:00:20,Outbound
7021,0:08:40,0:00:20,Outbound
7026,0:09:00,0:00:20,Outbound
7034,0:09:30,0:00:30,Outbound
7035,0:10:00,0:00:30,Outbound
7036,0:11:00,0:01:00,Outbound
7037,0:11:30,0:00:30,Outbound
7126,0:15:00,0:03:30,Outbound
7128,0:17:50,0:02:50,Outbound
7129,0:18:20,0:00:30,Outbound
7131,0:19:20,0:01:00,Outbound
7132,0:20:00,0:00:40,Outbound
7133,0:21:00,0:01:00,Outbound
7127,0:23:00,0:02:00,Inbound
7134,0:25:30,0:02:30,Inbound
7135,0:28:00,0:02:30,Inbound
7123,0:29:00,0:01:00,Inbound
7121,0:30:00,0:01:00,Inbound
7117,0:30:30,0:00:30,Inbound
7115,0:31:00,0:00:30,Inbound
7116,0:31:30,0:00:30,Inbound
7113,0:32:00,0:00:30,Inbound
7111,0:32:30,0:00:30,Inbound
7109,0:33:00,0:00:30,Inbound
7107,0:33:30,0:00:30,Inbound
7105,0:36:00,0:02:30,Inbound
7103,0:36:20,0:00:20,Inbound
7101,0:36:30,0:00:10,Inbound
7100,0:36:40,0:00:10,Inbound
7006,0:37:40,0:01:00,Inbound
7003,0:38:00,0:00:20,Inbound
7004,0:38:10,0:00:10,Inbound
7078,0:38:30,0:00:20,Inbound
7079,0:39:10,0:00:40,Inbound
7081,0:39:40,0:00:30,Inbound
2,0:40:00,0:00:20,Inbound
