stop_id,time,relative_time,head_sign
2,0:00,0:00,Outbound
7200,0:01:00,0:01:00,Outbound
7201,0:01:30,0:00:30,Outbound
7241,0:04:00,0:02:30,Outbound
7245,0:05:00,0:01:00,Outbound
7247,0:06:00,0:01:00,Outbound
7249,0:06:40,0:00:40,Outbound
7301,0:07:20,0:00:40,Outbound
7236,0:08:00,0:00:40,Outbound
7303,0:08:30,0:00:30,Outbound
7306,0:09:00,0:00:30,Outbound
7308,0:09:30,0:00:30,Outbound
7310,0:10:00,0:00:30,Outbound
7312,0:10:30,0:00:30,Outbound
7314,0:11:00,0:00:30,Outbound
7315,0:11:30,0:00:30,Outbound
7316,0:12:00,0:00:30,Outbound
7317,0:12:30,0:00:30,Outbound
7318,0:13:00,0:00:30,Outbound
7321,0:13:40,0:00:40,Inbound
7322,0:14:00,0:00:20,Inbound
7323,0:14:10,0:00:10,Inbound
7324,0:14:30,0:00:20,Inbound
7325,0:14:40,0:00:10,Inbound
7326,0:15:10,0:00:30,Inbound
7313,0:15:30,0:00:20,Inbound
7311,0:16:00,0:00:30,Inbound
7309,0:16:10,0:00:10,Inbound
7307,0:16:30,0:00:20,Inbound
7304,0:17:00,0:00:30,Inbound
7237,0:17:40,0:00:40,Inbound
7302,0:18:20,0:00:40,Inbound
7250,0:19:00,0:00:40,Inbound
7248,0:20:00,0:01:00,Inbound
7246,0:20:30,0:00:30,Inbound
7242,0:21:00,0:00:30,Inbound
7243,0:21:40,0:00:40,Inbound
7244,0:22:30,0:00:50,Inbound
2,0:25:00,0:02:30,Inbound
