stop_id,time,relative_time,head_sign
1,0:00:00,0:00:00,Outbound
7082,0:00:10,0:00:10,Outbound
146,0:00:20,0:00:10,Outbound
263,0:02:00,0:01:40,Outbound
257,0:04:00,0:02:00,Outbound
253,0:04:20,0:00:20,Outbound
8050,0:04:40,0:00:20,Outbound
8052,0:05:00,0:00:20,Outbound
8054,0:05:30,0:00:30,Outbound
8056,0:05:40,0:00:10,Outbound
8058,0:06:10,0:00:30,Outbound
8060,0:07:00,0:00:50,Outbound
8062,0:07:30,0:00:30,Outbound
8064,0:08:00,0:00:30,Outbound
8066,0:08:30,0:00:30,Outbound
8068,0:09:00,0:00:30,Outbound
8070,0:09:30,0:00:30,Outbound
8072,0:10:00,0:00:30,Outbound
8074,0:11:00,0:01:00,Outbound
8076,0:11:20,0:00:20,Outbound
8079,0:14:00,0:02:40,Outbound
8083,0:14:20,0:00:20,Outbound
8085,0:15:30,0:01:10,Outbound
8087,0:16:30,0:01:00,Outbound
8088,0:17:00,0:00:30,Outbound
8090,0:18:00,0:01:00,Outbound
8089,0:19:00,0:01:00,Outbound
8086,0:21:00,0:02:00,Inbound
8084,0:23:00,0:02:00,Inbound
8082,0:24:00,0:01:00,Inbound
8080,0:24:40,0:00:40,Inbound
8081,0:24:50,0:00:10,Inbound
8078,0:25:10,0:00:20,Inbound
8077,0:25:30,0:00:20,Inbound
8075,0:26:00,0:00:30,Inbound
8073,0:27:00,0:01:00,Inbound
8071,0:27:30,0:00:30,Inbound
8069,0:29:00,0:01:30,Inbound
8067,0:29:20,0:00:20,Inbound
8063,0:29:40,0:00:20,Inbound
8061,0:30:00,0:00:20,Inbound
8059,0:31:00,0:01:00,Inbound
8055,0:31:30,0:00:30,Inbound
8053,0:32:00,0:00:30,Inbound
8051,0:32:30,0:00:30,Inbound
254,0:33:30,0:01:00,Inbound
256,0:35:00,0:01:30,Inbound
145,0:38:00,0:03:00,Inbound
7090,0:39:00,0:01:00,Inbound
1,0:40:00,0:01:00,Inbound
