stop_id,time,relative_time,head_sign
2,0:00,0:00,Outbound
7200,0:01:00,0:01:00,Outbound
7201,0:01:30,0:00:30,Outbound
7204,0:02:30,0:01:00,Outbound
7208,0:03:45,0:01:15,Outbound
7211,0:05:00,0:01:15,Outbound
7214,0:05:30,0:00:30,Outbound
7215,0:06:10,0:00:40,Outbound
7216,0:06:40,0:00:30,Outbound
7217,0:07:00,0:00:20,Outbound
7218,0:07:20,0:00:20,Outbound
7219,0:07:40,0:00:20,Outbound
7220,0:08:00,0:00:20,Outbound
7221,0:08:30,0:00:30,Outbound
7222,0:09:00,0:00:30,Outbound
7223,0:09:30,0:00:30,Outbound
7226,0:10:00,0:00:30,Outbound
7257,0:10:40,0:00:40,Outbound
7259,0:11:20,0:00:40,Outbound
7260,0:12:00,0:00:40,Outbound
7261,0:12:40,0:00:40,Outbound
7262,0:13:20,0:00:40,Outbound
7263,0:14:00,0:00:40,Outbound
7264,0:14:30,0:00:30,Outbound
7265,0:15:00,0:00:30,Inbound
7266,0:15:40,0:00:40,Inbound
7267,0:16:20,0:00:40,Inbound
7268,0:17:00,0:00:40,Inbound
7269,0:17:20,0:00:20,Inbound
7258,0:18:00,0:00:40,Inbound
7227,0:18:30,0:00:30,Inbound
7224,0:19:00,0:00:30,Inbound
7256,0:19:30,0:00:30,Inbound
7254,0:20:00,0:00:30,Inbound
7252,0:20:40,0:00:40,Inbound
7250,0:21:20,0:00:40,Inbound
7248,0:22:00,0:00:40,Inbound
7246,0:22:30,0:00:30,Inbound
7242,0:23:00,0:00:30,Inbound
7243,0:23:40,0:00:40,Inbound
7244,0:24:30,0:00:50,Inbound
1,0:27:00,0:02:30,Inbound
