stop_id,time,relative_time,head_sign
2000,0:00:00,1:00:00,Clockwise
2014,0:02:00,0:02:00,Clockwise
2040,0:02:30,0:00:30,Clockwise
246,0:03:00,0:00:30,Clockwise
254,0:04:00,0:01:00,Clockwise
256,0:05:00,0:01:00,Clockwise
264,0:05:30,0:00:30,Clockwise
2100,0:08:00,0:02:30,Clockwise
2106,0:08:30,0:00:30,Clockwise
2114,0:09:00,0:00:30,Clockwise
2110,0:09:30,0:00:30,Clockwise
1005,0:10:30,0:01:00,Clockwise
1010,0:12:30,0:02:00,Clockwise
1015,0:13:00,0:00:30,Clockwise
1021,0:15:00,0:02:00,Clockwise
1030,0:16:30,0:01:30,Clockwise
1,0:18:00,0:01:30,Clockwise
1050,0:19:30,0:01:30,Clockwise
2080,0:23:00,0:03:30,Clockwise
2070,0:24:00,0:01:00,Clockwise
2000,0:30:00,0:06:00,Clockwise
