Route,Direction,Stop Title,Stop Tag,Time (hh:mm:ss),Timepoint Type
red,clock,WCTC,wctc_s_d, 06:25:00 ,BreakPoint
red,clock,Hawkins & Elliott,hawkell_c,   , 
red,clock,Dental on Elliott,dentell_c,   , 
red,clock,Dental College,dentcol_c,   , 
red,clock,Hardin Library,hardlib_c, 06:29:00 ,Timepoint
red,clock,MERF,merf_c,   , 
red,clock,PBDB,pbdb_c,   , 
red,clock,Art Building,artbldg_c,   , 
red,clock,Theatre Building,thetbldg_c,   , 
red,clock,Hancher Lot East,hanchest_c, 06:34:00 ,Timepoint
red,clock,Hancher/Park Road,hanchprk_c,   , 
red,clock,Park Road South,parkrds_c,   , 
red,clock,Church Street North,churchn_c,   , 
red,clock,Currier,currier_c, 06:38:00 ,Timepoint
red,clock,Pappajohn BB,pappajohn_c,   , 
red,clock,Clinton & Iowa,clintiowa_c,   , 
red,clock,Downtown Interchange - Schaeffer Hall,schfhall_c, 06:43:00 ,Timepoint
red,clock,Main Library,mainlib_c,   , 
red,clock,Rienow Hall,rienhall_c, 06:48:00 ,Timepoint
red,clock,Family Care,famcare_c,   , 
red,clock,WCTC Hidden Arrival,wctc_s_a,   , 
red,clock,WCTC,wctc_s_d, 06:55:00 ,Timepoint
red,clock,Hawkins & Elliott,hawkell_c,   , 
red,clock,Dental on Elliott,dentell_c,   , 
red,clock,Dental College,dentcol_c,   , 
red,clock,Hardin Library,hardlib_c, 06:59:00 ,Timepoint
red,clock,MERF,merf_c,   , 
red,clock,PBDB,pbdb_c,   , 
red,clock,Art Building,artbldg_c,   , 
red,clock,Theatre Building,thetbldg_c,   , 
red,clock,Hancher Lot East,hanchest_c, 07:04:00 ,Timepoint
red,clock,Hancher/Park Road,hanchprk_c,   , 
red,clock,Park Road South,parkrds_c,   , 
red,clock,Church Street North,churchn_c,   , 
red,clock,Currier,currier_c, 07:08:00 ,Timepoint
red,clock,Pappajohn BB,pappajohn_c,   , 
red,clock,Clinton & Iowa,clintiowa_c,   , 
red,clock,Downtown Interchange - Schaeffer Hall,schfhall_c, 07:13:00 ,Timepoint
red,clock,Main Library,mainlib_c,   , 
red,clock,Rienow Hall,rienhall_c, 07:18:00 ,Timepoint
red,clock,Family Care,famcare_c,   , 
